Name,Company Name,Telephone,Address,City,State,ZIP,Region,Order Dollar Amount,Order Date,Order Time,Sales Rep ID,,,Region ,#of orders,Percentage,,,,Name,State,Region,Sales Rep,Work Loading,State,Region,,State,Orders,rank ,,
Simone Woodard,The New Firm,+1 (653) 751-5575,6745 View Drive,Tucson,AZ,85701,Southwest," 289,469 ",9/1/20,12:30 AM,5,,,Midwest,177,18%,,,1,Abbigail Sparrow,IL,Midwest,136,Medium,IA,Midwest,,CA,245,1,,
Noble Gallegos,Roxxon,+1 (269) 377-0064,7331 Washington Canal,Columbus,GA,31901,Southeast," 288,875 ",11/22/20,5:07 AM,9,,,Northeast,99,10%,,,2,Cletus Richie,FL,Southeast,163,Heave,IL,Midwest,,TX,91,2,,
Lamis Nakamura,Incom Corporation,+1 (518) 951-6929,7253 Hill Cove,Clearwater,FL,34615,Southeast," 288,652 ",12/18/20,4:33 PM,2,,,Southeast,235,24%,,,3,Miles Ponce,CA,West,318,Heave,IN,Midwest,,FL,63,3,,
Keaton Pogue,Vandelay Industries,+1 (761) 144-1678,5998 Market Road NW,Providence,RI,02903,Northeast," 287,356 ",12/6/20,1:01 PM,2,,,West,346,35%,,,4,Sanford Ireland,CT,Northeast,54,Medium,KS,Midwest,,VA,43,4,,
Ricardo Seeley,Trans Allied Airlines,+1 (276) 428-3982,5618 Lake Place SE,Toledo,OH,43602,Midwest," 286,721 ",10/15/20,4:17 PM,6,,,Southwest,140,14%,,,5,Quinton Goulet,TX,Southwest,130,Medium,MI,Midwest,,MI,39,5,,
Amanda Cash,General Products,+1 (667) 058-2122,2519 Maple Avenue NE,Lincoln,NE,68502,Midwest," 286,017 ",6/4/20,9:29 AM,8,,,,,,,,6,Sylvia Marin,WI,Midwest,47,Light,MN,Midwest,,AZ,36,6,,
Agila Yee,Union Aerospace Corporation,+1 (361) 005-4138,1722 Jefferson Road,Providence,RI,02903,Northeast," 285,938 ",2/15/20,8:47 AM,7,,,SUM,997,,,,7,Alvis Mcbee,MA,Northeast,38,Light,MO,Midwest,,CO,35,7,,
Leon Gist,Rossum Corporation,+1 (899) 430-8902,7380 Jefferson Row SE,Syracuse,NY,13202,Northeast," 285,239 ",7/20/20,10:28 PM,3,,,,,,,,8,Aubrie Elrod,LA,Southeast,82,Medium,ND,Midwest,,NC,34,8,,
Audry Moss,Kumatsu Motors,+1 (333) 272-1908,5554 Second Parkway,Jackson,MS,39201,Southeast," 284,841 ",3/28/20,9:38 AM,5,,,,,,,,9,Hamza Vigil,CA,West,27,Light,NE,Midwest,,IL,27,9,,
Louvenia Harwood,General Forge and Foundry,+1 (783) 291-3983,8163 Hill Place East,Huntsville,AL,35801,Southeast," 283,025 ",8/29/20,4:14 PM,1,,,,,,,,,,,,,,OH,Midwest,,TN,24,10,,
Tessie Dinkins,Bluth Company,+1 (332) 510-2680,5314 Water Alley North,Miramar,FL,33023,Southeast," 282,312 ",5/21/20,3:45 AM,5,,,,,,,,,,,,,,SD,Midwest,,KS,21,11,,
Madra Salerno,Water and Power,+1 (657) 689-0814,2353 Ninth Drive,Springfield,MO,65802,Midwest," 281,456 ",12/1/20,8:01 PM,1,,,,,,,,,,,Work Loading,Sales Rep ,,WI,Midwest,,OH,21,12,,
Judah Myrick,MARS Industries,+1 (746) 180-0204,1498 Maple Crescent West,Topeka,KS,66603,Midwest," 280,557 ",10/23/20,6:32 PM,7,,,,,,,,,,,Heave ,>150,,CT,Northeast,,NY,21,13,,
Burt Delaney,Minco,+1 (587) 542-1510,7957 Lake Road NE,Glendale,AZ,85301,Southwest," 280,522 ",3/2/20,8:30 AM,6,,,,,,,,,,,Medium,150-50,,DC,Northeast,,WA,24,14,,
Lorna Baughman,Zorg Industries,+1 (995) 962-9604,5615 Seventh Street NE,Burbank,CA,91501,West," 280,018 ",4/5/20,5:30 PM,6,,,,,,,,,,,Light,<50,,DE,Northeast,,IN,16,15,,
Markus Winkler,123 Warehousing,+1 (418) 951-8440,6045 View Cove SW,Ventura,CA,93001,West," 278,939 ",10/14/20,9:33 AM,2,,,,,,,,,,,,,,MA,Northeast,,MA,16,16,,
Ike Macon,Sample Company,+1 (391) 311-1186,7384 Walnut Drive,Nashville,TN,37201,Southeast," 277,060 ",5/5/20,2:59 PM,3,,,,,,,,,,,,,,MD,Northeast,,GA,16,17,,
Phillip Stinnett,North Western Railway,+1 (503) 008-1237,8982 Mill Court West,Long Beach,CA,90802,West," 276,197 ",5/19/20,8:49 AM,7,,,,,,,,,,,,,,ME,Northeast,,NJ,15,18,,
Hadar Garris,Western Gas & Electric,+1 (558) 708-1763,7228 Valley Loop East,Lancaster,CA,93534,West," 276,065 ",12/14/20,7:51 PM,9,,,,,,,,,,,,,,NH,Northeast,,PA,15,19,,
Maximillian Taft,ABC Corp,+1 (514) 990-7504,5687 Sixth Circle NE,Lansing,MI,48906,Midwest," 275,932 ",9/10/20,7:00 PM,2,,,,,,,,,,,,,,NJ,Northeast,,WI,14,20,,
Alma Elam,The Lanford Lunch Box,+1 (024) 407-5992,4189 Cedar Street,West Valley City,UT,84119,West," 275,727 ",11/1/20,12:42 PM,7,,,,,,,,,,,,,,NY,Northeast,,LA,14,21,,
Jaeger Cupp,London and West Coast Railway,+1 (442) 511-8423,5318 Mill Boulevard,Toledo,OH,43602,Midwest," 275,620 ",5/8/20,12:03 AM,1,,,,,,,,,,,,,,PA,Northeast,,MO,12,22,,
Tiffanie Staton,Mainway Toys,+1 (143) 257-1854,3114 Washington Drive,Norfolk,VA,23502,Southeast," 274,961 ",2/11/20,6:11 AM,8,,,,,,,,,,,,,,RI,Northeast,,CT,13,23,,
Lois Rodrigue,The Drunken Clam,+1 (520) 344-8298,7460 Spring Loop,Glendale,AZ,85301,Southwest," 274,492 ",7/18/20,5:07 PM,1,,,,,,,,,,,,,,VT,Northeast,,NV,12,24,,
Moray Hendrickson,Initrode,+1 (972) 892-6490,3724 Grove Drive,Arvada,CO,80002,West," 274,191 ",6/14/20,5:15 AM,5,,,,,,,,,,,,,,AK,Southeast,,AL,11,25,,
Flora Mcqueen,General Services Corporation,+1 (081) 799-6141,5117 Fourth Terrace,Arlington,TX,76006,Southwest," 273,742 ",3/14/20,1:39 AM,6,,,,,,,,,,,,,,AL,Southeast,,OK,11,26,,
Mack Oconnor,Chez Quis,+1 (754) 899-2600,5047 Broad Court West,Elizabeth,NJ,07201,Northeast," 273,416 ",7/9/20,5:56 AM,5,,,,,,,,,,,,,,AR,Southeast,,OR,10,27,,
Colton Kendrick,C.H. Lavatory and Sons,+1 (106) 968-0624,1928 Pine Freeway,Austin,TX,78701,Southwest," 272,999 ",8/2/20,4:52 AM,5,,,,,,,,,,,,,,FL,Southeast,,UT,9,28,,
Hermon Maas,Northern & Southern Railway,+1 (229) 636-1295,5960 Eighth Boulevard SW,Carrollton,TX,75006,Southwest," 272,842 ",2/5/20,7:05 AM,5,,,,,,,,,,,,,,GA,Southeast,,MN,8,29,,
Daphne Arsenault,Charles Townsend Agency,+1 (915) 485-7911,816 Main Alley SE,Roseville,CA,95661,West," 272,660 ",3/22/20,6:16 PM,9,,,,,,,,,,,,,,KY,Southeast,,KY,8,29,,
Jalyn Delvalle,Roxxon,+1 (131) 867-8152,2975 Central Lane West,Raleigh,NC,27601,Southeast," 270,526 ",8/30/20,2:41 PM,8,,,,,,,,,,,,,,LA,Southeast,,NE,7,31,,
Nina Humphrey,Nordyne Defense Dynamics,+1 (638) 542-5076,8457 View Avenue South,West Covina,CA,91790,West," 269,795 ",7/31/20,10:33 AM,3,,,,,,,,,,,,,,MS,Southeast,,AR,7,32,,
